DETERMINACIÓN DE ZOOPLANCTON ,,,,,,,
TAXA,,,,,ESTADIO,IDENTIFICACION DE MUESTRAS,
,,,,,,Ps-V1-03,Ps-18
,,,,,,RESULTADOS,
Filo,Clase,Orden,Familia,Género y/o Especie,,Organismos / m³,Organismos / m³
,,,,,,,
Annelida,Polychaeta,Spionida ,Spionidae,Nd,larva,---,11.37
Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia tonsa,adulto,265.45,475.92
Arthropoda,Copepoda,Calanoida,Centropagidae ,Centropages brachiatus,adulto,---,1.61
Arthropoda,Copepoda,Calanoida,Paracalanidae ,Paracalanus parvus,adulto,415.03,109.96
Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona sp.,adulto,6.28,78.61
Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae ,Microsetella rosea,adulto,---,0.06
Arthropoda,Copepoda,Cyclopoida,Clausidiidae,Hemicyclops sp.,adulto,---,3.08
Arthropoda,Copepoda,Cyclopoida,Oncaeidae ,Oncaea venusta,adulto,---,0.26
Arthropoda,Malacostraca ,Decapoda ,Hippidae,Nd,zoea,---,0.83
Arthropoda,Malacostraca ,Euphausiacea,Nd,Nd,caliptopis,---,0.06
Arthropoda,Hexanauplia,Cirripedia (Infraclase),Nd,Nd,nauplio,0.40,6.36
Arthropoda,Hexanauplia,Cirripedia (Infraclase),Nd,Nd,cypris,0.69,0.51
Chordata,Actinopterygii ,Clupeiformes,Engraulidae,Nd,huevo,79.09,32.11
Chordata,Appendicularia,Copelata ,Oikopleuridae,Oikopleura sp.,adulto,0.40,10.92
Total de organismos,,,,,,767.34,731.66
Volumen filtrado: ,,,,,,"17,348 m³","15,57 m³"
OBSERVACIONES:,,,,,,,
Nd: No determinado,,,,,,,
"[---]: No se encontraron organismos, no aplica incertidumbre.",,,,,,,
